current_panel_key,current_inchikey,legacy_inchikey,match_type,similarity,legacy_source,legacy_record_id,historical_label
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AKWVBMHOCJWRET-UHFFFAOYSA-N,NO_MATCH,0.086420,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AKWVBMHOCJWRET-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,ALBWVXZDZLYVFV-UHFFFAOYSA-N,NO_MATCH,0.086022,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-ALBWVXZDZLYVFV-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,ALKXFLYXIWJKCH-UHFFFAOYSA-N,NO_MATCH,0.103093,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-ALKXFLYXIWJKCH-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,ALNHOTLQKTXLDP-UHFFFAOYSA-N,NO_MATCH,0.087912,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-ALNHOTLQKTXLDP-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,ALQLKISGFCOMRQ-UHFFFAOYSA-N,NO_MATCH,0.115789,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-ALQLKISGFCOMRQ-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AMBJRTWDWAMYMY-UHFFFAOYSA-N,NO_MATCH,0.102041,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AMBJRTWDWAMYMY-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AMDDYFRDVWJRTK-UHFFFAOYSA-N,NO_MATCH,0.142857,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AMDDYFRDVWJRTK-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AMFKWMRIKKBNLZ-UHFFFAOYSA-N,NO_MATCH,0.102041,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AMFKWMRIKKBNLZ-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AMIHWZYSYQDRBC-UHFFFAOYSA-N,NO_MATCH,0.129032,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AMIHWZYSYQDRBC-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AMJHCKWAPXVUNL-UHFFFAOYSA-N,NO_MATCH,0.106383,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AMJHCKWAPXVUNL-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AMLPBZLKRHMLLX-UHFFFAOYSA-N,NO_MATCH,0.079208,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AMLPBZLKRHMLLX-UHFFFAOYSA-N,
