legacy_record_id,inchikey,source_file,source_role,compound,filtered,farma_elite,top_hit,nh_4ey7,nh_isolated,master
LEGACY-INCHIKEY-YLCASFSGWMKDBV-UHFFFAOYSA-N,YLCASFSGWMKDBV-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLCASFSGWMKDBV-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLDCEUHDARAWLF-UHFFFAOYSA-N,YLDCEUHDARAWLF-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLDCEUHDARAWLF-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLFXTUSILFINDN-UHFFFAOYSA-N,YLFXTUSILFINDN-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLFXTUSILFINDN-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLLFBLZCNUTWFM-UHFFFAOYSA-N,YLLFBLZCNUTWFM-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLLFBLZCNUTWFM-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLPCQOOONBZZFN-UHFFFAOYSA-N,YLPCQOOONBZZFN-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLPCQOOONBZZFN-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLRALPAEIIYNSS-UHFFFAOYSA-N,YLRALPAEIIYNSS-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLRALPAEIIYNSS-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLVJOVBYEWQPRV-UHFFFAOYSA-N,YLVJOVBYEWQPRV-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLVJOVBYEWQPRV-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YLZIVKGXOUFDPJ-UHFFFAOYSA-N,YLZIVKGXOUFDPJ-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YLZIVKGXOUFDPJ-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YMJVBRFXQFPBHX-UHFFFAOYSA-N,YMJVBRFXQFPBHX-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YMJVBRFXQFPBHX-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YMOMTYZCLRXQTN-UHFFFAOYSA-N,YMOMTYZCLRXQTN-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YMOMTYZCLRXQTN-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YMQWOOHKTMWRJT-UHFFFAOYSA-N,YMQWOOHKTMWRJT-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YMQWOOHKTMWRJT-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YMVNGDPOWWMRJZ-UHFFFAOYSA-N,YMVNGDPOWWMRJZ-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YMVNGDPOWWMRJZ-UHFFFAOYSA-N,0,0,0,0,0,1
