ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_01043,CC(=O)C1C(CF)CCC1c1cnccc1CF,-7.55,-6.182,1.368,Fase 2_Seletividade
MOL_01044,CC(C)C(=O)C1C(C#N)CCC1c1cnccc1I,-7.549,-6.043,1.506,Fase 2_Seletividade
MOL_01045,CCCC(=O)C1C(OC)CCC1c1cnccc1C1CO1,-7.549,-6.115,1.434,Fase 1_Lote Inicial
MOL_01046,CCCC(=O)C1C(O)CCC1c1cnccc1OC,-7.548,-5.4,2.148,Fase 2_Seletividade
MOL_01047,COC(=O)C1C(CF)CCC1c1cnccc1F,-7.548,-5.467,2.081,Fase 3_Super Elite
MOL_01048,NC(=O)C1C(CF)CCC1c1cnccc1C1CC1,-7.548,-6.576,0.972,Fase 2_Seletividade
MOL_01049,COC(=O)C1C(OC)CCC1c1cnccc1C1CC1,-7.546,-5.944,1.602,Fase 2_Seletividade
MOL_01050,CC1CCC(c2cnccc2S)C1C(=O)O,-7.546,-5.966,1.58,Fase 2_Seletividade
MOL_01051,COC1CCC(c2cnccc2C#N)C1C(=O)O,-7.546,-6.283,1.263,Fase 2_Seletividade
MOL_01052,CCNC(=O)C1C(F)CCC1c1cnccc1C#N,-7.546,-7.067,0.479,Fase 2_Seletividade
MOL_01053,CC(=O)C1C(C#N)CCC1c1cnccc1C(F)F,-7.543,-6.455,1.088,Fase 2_Seletividade
MOL_01054,O=C(CC(F)(F)F)C1C(F)CCC1c1cnccc1C1CC1,-7.542,-6.075,1.467,Fase 1_Lote Inicial
MOL_01055,CCOC(=O)C1C(C)CCC1c1cnccc1C,-7.541,-6.153,1.388,Fase 2_Seletividade
MOL_01056,CC(C)c1ccncc1C1CCC(O)C1C(N)=O,-7.541,-6.499,1.042,Fase 2_Seletividade
MOL_01057,COC(=O)C1C(C=O)CCC1c1cnccc1C#N,-7.54,-5.647,1.893,Fase 2_Seletividade
MOL_01058,CNC(=O)C1C(N)CCC1c1cnccc1C,-7.54,-6.65,0.89,Fase 2_Seletividade
MOL_01059,CNC(=O)C1C(OC)CCC1c1cnccc1F,-7.539,-6.06,1.479,Fase 2_Seletividade
MOL_01060,CC1CCC(c2cnccc2I)C1C(=O)C1CC1,-7.535,-6.015,1.52,Fase 3_Super Elite
MOL_01061,CCC(F)C(=O)C1C(C)CCC1c1cnccc1C=O,-7.535,-6.311,1.224,Fase 1_Lote Inicial
MOL_01062,CC(C)C(=O)C1C(C#N)CCC1c1cnccc1C1CC1,-7.534,-6.261,1.273,Fase 2_Seletividade
MOL_01063,CCc1ccncc1C1CCC(S)C1C(C)=O,-7.533,-5.915,1.618,Fase 2_Seletividade
MOL_01064,N#CC1CCC(c2cnccc2C2CC2)C1C(=O)O,-7.532,-6.64,0.892,Fase 2_Seletividade
MOL_01065,CNC(=O)C1C(C#N)CCC1c1cnccc1F,-7.531,-6.499,1.032,Fase 2_Seletividade
MOL_01066,O=CC1CCC(c2cnccc2I)C1C(=O)O,-7.53,-6.027,1.503,Fase 2_Seletividade
